RAM(MB),Cores,Workload(%),YOLOtime(s)
2000,1,40,98.075634
2000,1,40,98.992164
2000,1,40,99.074481
2000,1,40,99.026554
2000,1,40,98.601328
2000,1,40,99.423802
2000,1,40,98.473872
2000,1,40,98.231389
2000,1,40,99.015315
2000,1,40,99.040556
2000,1,40,98.172606
2000,1,40,99.241058
2000,1,40,98.424399
2000,1,40,99.534857
2000,1,40,98.079650
2000,1,40,100.465327
2000,1,40,99.182734
2000,1,40,98.219554
2000,1,40,99.330492
2000,1,40,98.777484
2000,1,40,99.054938
2000,1,40,98.921140
2000,1,40,99.019927
2000,1,40,99.990405
2000,1,40,99.554280
2000,1,40,99.244880
2000,1,40,98.711127
2000,1,40,98.744030
2000,1,40,98.649869
2000,1,40,98.570005
2000,1,40,98.820216
2000,1,40,98.821890
2000,1,40,98.760450
2000,1,40,98.715860
2000,1,40,99.040673
2000,1,40,98.932486
2000,1,40,98.913658
2000,1,40,99.312505
2000,1,40,98.834684
2000,1,40,98.857188
2000,2,40,80.039198
2000,2,40,80.976800
2000,2,40,81.228451
2000,2,40,81.147630
2000,2,40,80.157731
2000,2,40,80.140848
2000,2,40,81.445034
2000,2,40,79.829639
2000,2,40,79.770549
2000,2,40,80.656001
2000,2,40,80.292046
2000,2,40,80.979753
2000,2,40,80.438335
2000,2,40,81.144007
2000,2,40,80.418716
2000,2,40,79.991450
2000,2,40,80.729650
2000,2,40,80.291820
2000,2,40,80.606843
2000,2,40,80.115946
2000,2,40,80.524989
2000,2,40,80.555307
2000,2,40,79.655449
2000,2,40,80.099710
2000,2,40,79.765639
2000,2,40,80.154020
2000,2,40,80.062456
2000,2,40,80.534207
2000,2,40,79.603282
2000,2,40,81.024788
2000,2,40,80.611881
2000,2,40,80.466346
2000,2,40,80.716823
2000,2,40,80.217242
2000,2,40,81.069370
2000,2,40,80.434354
2000,2,40,80.478221
2000,2,40,80.992982
2000,2,40,80.546698
2000,2,40,80.727466
2000,3,40,81.711744
2000,3,40,82.200673
2000,3,40,81.925239
2000,3,40,81.923134
2000,3,40,81.990586
2000,3,40,82.131148
2000,3,40,81.215181
2000,3,40,82.547519
2000,3,40,82.210003
2000,3,40,82.041732
2000,3,40,81.236572
2000,3,40,81.864430
2000,3,40,82.319811
2000,3,40,81.054966
2000,3,40,81.876088
2000,3,40,81.681518
2000,3,40,81.906394
2000,3,40,81.355535
2000,3,40,82.384609
2000,3,40,82.331691
2000,3,40,81.107727
2000,3,40,82.023442
2000,3,40,82.176213
2000,3,40,82.046351
2000,3,40,82.201590
2000,3,40,81.242025
2000,3,40,82.314663
2000,3,40,81.626015
2000,3,40,81.430069
2000,3,40,81.314450
2000,3,40,82.347136
2000,3,40,81.872662
2000,3,40,82.459271
2000,3,40,82.630277
2000,3,40,81.919714
2000,3,40,82.207428
2000,3,40,82.358835
2000,3,40,82.267729
2000,3,40,82.627664
2000,3,40,82.844689
2000,4,40,83.410838
2000,4,40,83.115219
2000,4,40,82.634193
2000,4,40,83.098360
2000,4,40,83.312958
2000,4,40,82.833817
2000,4,40,83.197648
2000,4,40,82.770463
2000,4,40,83.271059
2000,4,40,82.745767
2000,4,40,82.621861
2000,4,40,82.991042
2000,4,40,82.892070
2000,4,40,82.544426
2000,4,40,82.901906
2000,4,40,83.270222
2000,4,40,82.835841
2000,4,40,82.555079
2000,4,40,82.776074
2000,4,40,83.351828
2000,4,40,83.098099
2000,4,40,83.053306
2000,4,40,83.347033
2000,4,40,83.546457
2000,4,40,83.131954
2000,4,40,83.432756
2000,4,40,83.796554
2000,4,40,82.979153
2000,4,40,82.576798
2000,4,40,83.061985
2000,4,40,82.734454
2000,4,40,83.089038
2000,4,40,82.588823
2000,4,40,82.841393
2000,4,40,82.987336
2000,4,40,82.935874
2000,4,40,83.153230
2000,4,40,82.706171
2000,4,40,82.633498
2000,4,40,83.248347
