RAM(MB),Cores,Workload(%),YOLOtime(s)
1000,1,40,105.881706
1000,1,40,105.444789
1000,1,40,105.623566
1000,1,40,105.671392
1000,1,40,105.144776
1000,1,40,106.468409
1000,1,40,106.592678
1000,1,40,106.107520
1000,1,40,106.137089
1000,1,40,106.956558
1000,1,40,106.130746
1000,1,40,107.176071
1000,1,40,106.991304
1000,1,40,107.649850
1000,1,40,106.463743
1000,1,40,106.124446
1000,1,40,106.576219
1000,1,40,105.687720
1000,1,40,107.377165
1000,1,40,104.598525
1000,1,40,106.803520
1000,1,40,105.703840
1000,1,40,106.655433
1000,1,40,105.991185
1000,1,40,105.589171
1000,1,40,106.402231
1000,1,40,105.605564
1000,1,40,106.236725
1000,1,40,106.510509
1000,1,40,105.191228
1000,1,40,106.505342
1000,1,40,105.724778
1000,1,40,105.625071
1000,1,40,105.581817
1000,1,40,106.068132
1000,1,40,105.660396
1000,1,40,105.683589
1000,1,40,107.030627
1000,1,40,105.592874
1000,1,40,105.394141
1500,1,40,101.785472
1500,1,40,102.213660
1500,1,40,101.536918
1500,1,40,102.759635
1500,1,40,102.432952
1500,1,40,101.198584
1500,1,40,100.283026
1500,1,40,102.747114
1500,1,40,101.682445
1500,1,40,100.332438
1500,1,40,101.907789
1500,1,40,102.382977
1500,1,40,101.361103
1500,1,40,101.976767
1500,1,40,102.663565
1500,1,40,101.108747
1500,1,40,103.444509
1500,1,40,102.177298
1500,1,40,103.639002
1500,1,40,101.612777
1500,1,40,100.734250
1500,1,40,102.303398
1500,1,40,101.777954
1500,1,40,101.296254
1500,1,40,102.911410
1500,1,40,102.050219
1500,1,40,101.227257
1500,1,40,102.573740
1500,1,40,102.457367
1500,1,40,103.835024
1500,1,40,101.152500
1500,1,40,100.855014
1500,1,40,102.446972
1500,1,40,101.187281
1500,1,40,100.412662
1500,1,40,101.886392
1500,1,40,101.665900
1500,1,40,101.158902
1500,1,40,102.619598
1500,1,40,102.209380
2000,1,40,99.113801
2000,1,40,98.968065
2000,1,40,99.067777
2000,1,40,99.673073
2000,1,40,99.787310
2000,1,40,99.433682
2000,1,40,99.043225
2000,1,40,98.763855
2000,1,40,98.456806
2000,1,40,99.365897
2000,1,40,99.412666
2000,1,40,98.590047
2000,1,40,99.716762
2000,1,40,98.898000
2000,1,40,99.302940
2000,1,40,99.437753
2000,1,40,99.543774
2000,1,40,99.282151
2000,1,40,100.633128
2000,1,40,99.363148
2000,1,40,98.942037
2000,1,40,99.672865
2000,1,40,99.222360
2000,1,40,98.788582
2000,1,40,99.745248
2000,1,40,98.716906
2000,1,40,99.137454
2000,1,40,98.855645
2000,1,40,99.529442
2000,1,40,99.183466
2000,1,40,99.303568
2000,1,40,98.187947
2000,1,40,98.993975
2000,1,40,99.211430
2000,1,40,98.966202
2000,1,40,98.595473
2000,1,40,99.650315
2000,1,40,98.763201
2000,1,40,99.186268
2000,1,40,100.017376
2500,1,40,97.983171
2500,1,40,98.814412
2500,1,40,99.111936
2500,1,40,99.074842
2500,1,40,99.038564
2500,1,40,98.912699
2500,1,40,99.942733
2500,1,40,99.491719
2500,1,40,99.894709
2500,1,40,98.944070
2500,1,40,100.316654
2500,1,40,98.544772
2500,1,40,98.875928
2500,1,40,99.531857
2500,1,40,98.368749
2500,1,40,98.281159
2500,1,40,99.688226
2500,1,40,99.466208
2500,1,40,99.298587
2500,1,40,98.873866
2500,1,40,98.839825
2500,1,40,98.272707
2500,1,40,99.128751
2500,1,40,99.201379
2500,1,40,99.701450
2500,1,40,99.241595
2500,1,40,99.376720
2500,1,40,98.306967
2500,1,40,99.211656
2500,1,40,98.642359
2500,1,40,98.610430
2500,1,40,99.820228
2500,1,40,98.951313
2500,1,40,100.231516
2500,1,40,99.475081
2500,1,40,99.883873
2500,1,40,98.703037
2500,1,40,98.855192
2500,1,40,99.156749
2500,1,40,99.025261
