RAM(MB),Cores,Workload(%),YOLOtime(s)
2000,1,10,83.292906
2000,1,10,83.199744
2000,1,10,82.152237
2000,1,10,83.577673
2000,1,10,83.582114
2000,1,10,83.129426
2000,1,10,83.697608
2000,1,10,83.293379
2000,1,10,81.984626
2000,1,10,83.451405
2000,1,10,82.601251
2000,1,10,82.215221
2000,1,10,83.050354
2000,1,10,82.509121
2000,1,10,82.795332
2000,1,10,84.792107
2000,1,10,83.698507
2000,1,10,82.597868
2000,1,10,83.488336
2000,1,10,83.432856
2000,1,10,83.039161
2000,1,10,83.584412
2000,1,10,81.868135
2000,1,10,83.642851
2000,1,10,82.745061
2000,1,10,83.514532
2000,1,10,83.230659
2000,1,10,82.850716
2000,1,10,83.585239
2000,1,10,82.809063
2000,1,10,82.611657
2000,1,10,82.181878
2000,1,10,83.716401
2000,1,10,82.008626
2000,1,10,83.577541
2000,1,10,83.143717
2000,1,10,83.707778
2000,1,10,82.543971
2000,1,10,83.398368
2000,1,10,82.677021
2000,1,20,87.266607
2000,1,20,89.020346
2000,1,20,87.251537
2000,1,20,86.989153
2000,1,20,87.732806
2000,1,20,88.386436
2000,1,20,87.137331
2000,1,20,87.757080
2000,1,20,87.802991
2000,1,20,88.056106
2000,1,20,87.732945
2000,1,20,94.535290
2000,1,20,93.598760
2000,1,20,91.911593
2000,1,20,88.028905
2000,1,20,89.490300
2000,1,20,87.640688
2000,1,20,87.961215
2000,1,20,87.800673
2000,1,20,89.514677
2000,1,20,88.366692
2000,1,20,88.591921
2000,1,20,87.659810
2000,1,20,87.127211
2000,1,20,88.105992
2000,1,20,89.440266
2000,1,20,87.403809
2000,1,20,88.573688
2000,1,20,88.088887
2000,1,20,87.267042
2000,1,20,88.166048
2000,1,20,87.153430
2000,1,20,88.731333
2000,1,20,87.817802
2000,1,20,87.207950
2000,1,20,86.909421
2000,1,20,89.453159
2000,1,20,87.570371
2000,1,20,87.330900
2000,1,20,87.708248
2000,1,30,92.602728
2000,1,30,93.786986
2000,1,30,93.155593
2000,1,30,92.626075
2000,1,30,93.460521
2000,1,30,92.819847
2000,1,30,93.463114
2000,1,30,92.625839
2000,1,30,93.372516
2000,1,30,92.428976
2000,1,30,93.425429
2000,1,30,92.729772
2000,1,30,93.149188
2000,1,30,93.870577
2000,1,30,92.568014
2000,1,30,93.942655
2000,1,30,92.908056
2000,1,30,94.233019
2000,1,30,91.967923
2000,1,30,93.717029
2000,1,30,93.170471
2000,1,30,93.349972
2000,1,30,92.848962
2000,1,30,93.362203
2000,1,30,93.723616
2000,1,30,92.276436
2000,1,30,92.691693
2000,1,30,93.289337
2000,1,30,93.192623
2000,1,30,93.138704
2000,1,30,93.856735
2000,1,30,93.161649
2000,1,30,92.920550
2000,1,30,93.523185
2000,1,30,93.680247
2000,1,30,92.480441
2000,1,30,94.735761
2000,1,30,93.389512
2000,1,30,93.361660
2000,1,30,92.674465
2000,1,40,98.322962
2000,1,40,98.270186
2000,1,40,99.261824
2000,1,40,97.950969
2000,1,40,99.012155
2000,1,40,98.754811
2000,1,40,98.958957
2000,1,40,98.960398
2000,1,40,99.141315
2000,1,40,99.044646
2000,1,40,99.233565
2000,1,40,98.951366
2000,1,40,99.879948
2000,1,40,99.537684
2000,1,40,99.369331
2000,1,40,99.034736
2000,1,40,99.003525
2000,1,40,98.352469
2000,1,40,99.072620
2000,1,40,98.667014
2000,1,40,99.363676
2000,1,40,100.014664
2000,1,40,97.573219
2000,1,40,98.442675
2000,1,40,98.647325
2000,1,40,98.704308
2000,1,40,99.086899
2000,1,40,99.069161
2000,1,40,99.402718
2000,1,40,99.563234
2000,1,40,98.985141
2000,1,40,98.522426
2000,1,40,98.881844
2000,1,40,98.271932
2000,1,40,99.380110
2000,1,40,99.487236
2000,1,40,98.409686
2000,1,40,99.319599
2000,1,40,99.386648
2000,1,40,98.685739
2000,1,50,106.082214
2000,1,50,106.749874
2000,1,50,106.310690
2000,1,50,105.590036
2000,1,50,105.343931
2000,1,50,104.645927
2000,1,50,106.059377
2000,1,50,105.924215
2000,1,50,105.837521
2000,1,50,105.082806
2000,1,50,105.421171
2000,1,50,105.133851
2000,1,50,106.973228
2000,1,50,105.281251
2000,1,50,105.324385
2000,1,50,104.988465
2000,1,50,105.272996
2000,1,50,105.742055
2000,1,50,104.284934
2000,1,50,105.239852
2000,1,50,106.911981
2000,1,50,106.012329
2000,1,50,105.997621
2000,1,50,105.944699
2000,1,50,104.366890
2000,1,50,105.908898
2000,1,50,105.175197
2000,1,50,106.576586
2000,1,50,104.935240
2000,1,50,105.846235
2000,1,50,104.797138
2000,1,50,106.170778
2000,1,50,104.999574
2000,1,50,105.300045
2000,1,50,105.240746
2000,1,50,105.945155
2000,1,50,106.390209
2000,1,50,105.540349
2000,1,50,105.880993
2000,1,50,106.239965
