RAM(MB),Cores,Workload_GPU(%),Workload_CPU(%),YOLOtime(s)
3000,1,67.72727272727273,40,1.170081
3000,1,67.72727272727273,40,1.131907
3000,1,67.72727272727273,40,1.062465
3000,1,67.72727272727273,40,1.152473
3000,1,67.72727272727273,40,1.089799
3000,1,67.72727272727273,40,1.125746
3000,1,67.72727272727273,40,1.137729
3000,1,67.72727272727273,40,1.096616
3000,1,67.72727272727273,40,1.246457
3000,1,67.72727272727273,40,1.231709
3000,1,67.72727272727273,40,1.176387
3000,1,67.72727272727273,40,1.115107
3000,1,67.72727272727273,40,1.187632
3000,1,67.72727272727273,40,1.208155
3000,1,67.72727272727273,40,1.150139
3000,1,67.72727272727273,40,1.134365
3000,1,67.72727272727273,40,1.158797
3000,1,67.72727272727273,40,1.147494
3000,1,67.72727272727273,40,1.166237
3000,1,67.72727272727273,40,1.136872
3000,1,67.72727272727273,40,1.201986
3000,1,67.72727272727273,40,1.255814
3000,1,67.72727272727273,40,1.221036
3000,1,67.72727272727273,40,1.144423
3000,1,67.72727272727273,40,1.157690
3000,1,67.72727272727273,40,1.180679
3000,1,67.72727272727273,40,1.173415
3000,1,67.72727272727273,40,1.133892
3000,1,67.72727272727273,40,1.155814
3000,1,67.72727272727273,40,1.160513
3000,2,42.888888888888886,40,1.322770
3000,2,42.888888888888886,40,1.251020
3000,2,42.888888888888886,40,1.127596
3000,2,42.888888888888886,40,1.041541
3000,2,42.888888888888886,40,1.040911
3000,2,42.888888888888886,40,1.097185
3000,2,42.888888888888886,40,1.074569
3000,2,42.888888888888886,40,1.254335
3000,2,42.888888888888886,40,1.106635
3000,2,42.888888888888886,40,1.233930
3000,2,42.888888888888886,40,1.268948
3000,2,42.888888888888886,40,1.049673
3000,2,42.888888888888886,40,1.133016
3000,2,42.888888888888886,40,1.198957
3000,2,42.888888888888886,40,1.042691
3000,2,42.888888888888886,40,1.033630
3000,2,42.888888888888886,40,1.030341
3000,2,42.888888888888886,40,1.125813
3000,2,42.888888888888886,40,1.098812
3000,2,42.888888888888886,40,1.137751
3000,2,42.888888888888886,40,1.065728
3000,2,42.888888888888886,40,1.307010
3000,2,42.888888888888886,40,1.178588
3000,2,42.888888888888886,40,1.262912
3000,2,42.888888888888886,40,1.071050
3000,2,42.888888888888886,40,1.144548
3000,2,42.888888888888886,40,1.151753
3000,2,42.888888888888886,40,1.028683
3000,2,42.888888888888886,40,1.152655
3000,2,42.888888888888886,40,1.175341
3000,3,45.472727272727276,40,1.123317
3000,3,45.472727272727276,40,1.114255
3000,3,45.472727272727276,40,1.170982
3000,3,45.472727272727276,40,1.159957
3000,3,45.472727272727276,40,1.158468
3000,3,45.472727272727276,40,1.175978
3000,3,45.472727272727276,40,1.098941
3000,3,45.472727272727276,40,1.161728
3000,3,45.472727272727276,40,1.182356
3000,3,45.472727272727276,40,1.283992
3000,3,45.472727272727276,40,1.144321
3000,3,45.472727272727276,40,1.118822
3000,3,45.472727272727276,40,1.299876
3000,3,45.472727272727276,40,1.259798
3000,3,45.472727272727276,40,1.127433
3000,3,45.472727272727276,40,1.213527
3000,3,45.472727272727276,40,1.183532
3000,3,45.472727272727276,40,1.133778
3000,3,45.472727272727276,40,1.145715
3000,3,45.472727272727276,40,1.205064
3000,3,45.472727272727276,40,1.287633
3000,3,45.472727272727276,40,1.097193
3000,3,45.472727272727276,40,1.179179
3000,3,45.472727272727276,40,1.104752
3000,3,45.472727272727276,40,1.063894
3000,3,45.472727272727276,40,1.188608
3000,3,45.472727272727276,40,1.191902
3000,3,45.472727272727276,40,1.058830
3000,3,45.472727272727276,40,1.259633
3000,3,45.472727272727276,40,1.119853
3000,4,42.339285714285715,40,1.165514
3000,4,42.339285714285715,40,1.179011
3000,4,42.339285714285715,40,1.119256
3000,4,42.339285714285715,40,1.190338
3000,4,42.339285714285715,40,1.195297
3000,4,42.339285714285715,40,1.156056
3000,4,42.339285714285715,40,1.207982
3000,4,42.339285714285715,40,1.114738
3000,4,42.339285714285715,40,1.246008
3000,4,42.339285714285715,40,1.172477
3000,4,42.339285714285715,40,1.154953
3000,4,42.339285714285715,40,1.128693
3000,4,42.339285714285715,40,1.130009
3000,4,42.339285714285715,40,1.098232
3000,4,42.339285714285715,40,1.187516
3000,4,42.339285714285715,40,1.173259
3000,4,42.339285714285715,40,1.208799
3000,4,42.339285714285715,40,1.126241
3000,4,42.339285714285715,40,1.157015
3000,4,42.339285714285715,40,1.085244
3000,4,42.339285714285715,40,1.199216
3000,4,42.339285714285715,40,1.134306
3000,4,42.339285714285715,40,1.181662
3000,4,42.339285714285715,40,1.094741
3000,4,42.339285714285715,40,1.181301
3000,4,42.339285714285715,40,1.182724
3000,4,42.339285714285715,40,1.134876
3000,4,42.339285714285715,40,1.118591
3000,4,42.339285714285715,40,1.170228
3000,4,42.339285714285715,40,1.208043
