RAM(MB),Cores,Workload_GPU(%),Workload_CPU(%),YOLOtime(s)
3000,1,31.12727272727273,10,1.274136
3000,1,31.12727272727273,10,1.149681
3000,1,31.12727272727273,10,1.294497
3000,1,31.12727272727273,10,1.306541
3000,1,31.12727272727273,10,1.255338
3000,1,31.12727272727273,10,1.237659
3000,1,31.12727272727273,10,1.261687
3000,1,31.12727272727273,10,1.260861
3000,1,31.12727272727273,10,1.288587
3000,1,31.12727272727273,10,1.287679
3000,1,31.12727272727273,10,1.277336
3000,1,31.12727272727273,10,1.267509
3000,1,31.12727272727273,10,1.306578
3000,1,31.12727272727273,10,1.318192
3000,1,31.12727272727273,10,1.349206
3000,1,31.12727272727273,10,1.284014
3000,1,31.12727272727273,10,1.273178
3000,1,31.12727272727273,10,1.273908
3000,1,31.12727272727273,10,1.280525
3000,1,31.12727272727273,10,1.257457
3000,1,31.12727272727273,10,1.142441
3000,1,31.12727272727273,10,1.332384
3000,1,31.12727272727273,10,1.311149
3000,1,31.12727272727273,10,1.319023
3000,1,31.12727272727273,10,1.306133
3000,1,31.12727272727273,10,1.273881
3000,1,31.12727272727273,10,1.300877
3000,1,31.12727272727273,10,1.180903
3000,1,31.12727272727273,10,1.306284
3000,1,31.12727272727273,10,1.355663
3000,1,33.236363636363635,20,1.153352
3000,1,33.236363636363635,20,1.313778
3000,1,33.236363636363635,20,1.008877
3000,1,33.236363636363635,20,1.274110
3000,1,33.236363636363635,20,1.255759
3000,1,33.236363636363635,20,1.290641
3000,1,33.236363636363635,20,1.283055
3000,1,33.236363636363635,20,1.288093
3000,1,33.236363636363635,20,1.296118
3000,1,33.236363636363635,20,1.300473
3000,1,33.236363636363635,20,1.273645
3000,1,33.236363636363635,20,1.202921
3000,1,33.236363636363635,20,1.393115
3000,1,33.236363636363635,20,1.129800
3000,1,33.236363636363635,20,1.290813
3000,1,33.236363636363635,20,1.099968
3000,1,33.236363636363635,20,1.215346
3000,1,33.236363636363635,20,1.297041
3000,1,33.236363636363635,20,1.041121
3000,1,33.236363636363635,20,1.324348
3000,1,33.236363636363635,20,1.116534
3000,1,33.236363636363635,20,1.315887
3000,1,33.236363636363635,20,1.095568
3000,1,33.236363636363635,20,1.282000
3000,1,33.236363636363635,20,1.140112
3000,1,33.236363636363635,20,1.280785
3000,1,33.236363636363635,20,1.158977
3000,1,33.236363636363635,20,1.319021
3000,1,33.236363636363635,20,1.205115
3000,1,33.236363636363635,20,1.292472
3000,1,34.30909090909091,30,1.272530
3000,1,34.30909090909091,30,1.165294
3000,1,34.30909090909091,30,1.249051
3000,1,34.30909090909091,30,1.280592
3000,1,34.30909090909091,30,1.303768
