RAM(MB),Cores,Workload_GPU(%),Workload_CPU(%),YOLOtime(s)
3000,1,30.727272727272727,40,1.278125
3000,1,30.727272727272727,40,1.256824
3000,1,30.727272727272727,40,1.258412
3000,1,30.727272727272727,40,1.287411
3000,1,30.727272727272727,40,1.301753
3000,1,30.727272727272727,40,1.261726
3000,1,30.727272727272727,40,1.309267
3000,1,30.727272727272727,40,1.270045
3000,1,30.727272727272727,40,1.144534
3000,1,30.727272727272727,40,1.149811
3000,1,30.727272727272727,40,1.161039
3000,1,30.727272727272727,40,1.004964
3000,1,30.727272727272727,40,1.110476
3000,1,30.727272727272727,40,1.159194
3000,1,30.727272727272727,40,1.149471
3000,1,30.727272727272727,40,1.041486
3000,1,30.727272727272727,40,1.169107
3000,1,30.727272727272727,40,1.198537
3000,1,30.727272727272727,40,1.178587
3000,1,30.727272727272727,40,1.100932
3000,1,30.727272727272727,40,1.179056
3000,1,30.727272727272727,40,1.170955
3000,1,30.727272727272727,40,1.154195
3000,1,30.727272727272727,40,1.175679
3000,1,30.727272727272727,40,1.140279
3000,1,30.727272727272727,40,1.136764
3000,1,30.727272727272727,40,1.130357
3000,1,30.727272727272727,40,0.988191
3000,1,30.727272727272727,40,1.141663
3000,1,30.727272727272727,40,1.033724
3000,1,72.47272727272727,40,1.018527
3000,1,72.47272727272727,40,1.215841
3000,1,72.47272727272727,40,1.001485
3000,1,72.47272727272727,40,1.154028
3000,1,72.47272727272727,40,1.055955
3000,1,72.47272727272727,40,1.119437
3000,1,72.47272727272727,40,1.055538
3000,1,72.47272727272727,40,1.239779
3000,1,72.47272727272727,40,1.008949
3000,1,72.47272727272727,40,1.192787
3000,1,72.47272727272727,40,1.019724
3000,1,72.47272727272727,40,1.130117
3000,1,72.47272727272727,40,1.128443
3000,1,72.47272727272727,40,1.074334
3000,1,72.47272727272727,40,1.140006
3000,1,72.47272727272727,40,1.044358
3000,1,72.47272727272727,40,1.247826
3000,1,72.47272727272727,40,1.050137
3000,1,72.47272727272727,40,1.168956
3000,1,72.47272727272727,40,1.078008
3000,1,72.47272727272727,40,1.104654
3000,1,72.47272727272727,40,1.174150
3000,1,72.47272727272727,40,0.977019
3000,1,72.47272727272727,40,1.201001
3000,1,72.47272727272727,40,0.984187
3000,1,72.47272727272727,40,1.257349
3000,1,72.47272727272727,40,1.049740
3000,1,72.47272727272727,40,1.171313
3000,1,72.47272727272727,40,1.054074
3000,1,72.47272727272727,40,1.149259
3000,1,84.90566037735849,40,1.026928
3000,1,84.90566037735849,40,1.109754
3000,1,84.90566037735849,40,1.028541
3000,1,84.90566037735849,40,1.075288
3000,1,84.90566037735849,40,0.973159
3000,1,84.90566037735849,40,1.019786
3000,1,84.90566037735849,40,1.108537
3000,1,84.90566037735849,40,1.154937
3000,1,84.90566037735849,40,1.214273
3000,1,84.90566037735849,40,1.154838
3000,1,84.90566037735849,40,1.069745
3000,1,84.90566037735849,40,1.152165
3000,1,84.90566037735849,40,1.150214
3000,1,84.90566037735849,40,1.148055
3000,1,84.90566037735849,40,1.143339
3000,1,84.90566037735849,40,1.078632
3000,1,84.90566037735849,40,1.151779
3000,1,84.90566037735849,40,1.103684
3000,1,84.90566037735849,40,1.158076
3000,1,84.90566037735849,40,1.030662
3000,1,84.90566037735849,40,1.029206
3000,1,84.90566037735849,40,1.088971
3000,1,84.90566037735849,40,1.098285
3000,1,84.90566037735849,40,1.133207
3000,1,84.90566037735849,40,1.204417
3000,1,84.90566037735849,40,1.179283
3000,1,84.90566037735849,40,1.181874
3000,1,84.90566037735849,40,1.025057
3000,1,84.90566037735849,40,1.152473
3000,1,84.90566037735849,40,1.436515
3000,1,85.0754716981132,40,1.595148
3000,1,85.0754716981132,40,1.061846
3000,1,85.0754716981132,40,1.047960
3000,1,85.0754716981132,40,1.508388
3000,1,85.0754716981132,40,1.002754
3000,1,85.0754716981132,40,1.024667
3000,1,85.0754716981132,40,1.031185
3000,1,85.0754716981132,40,0.986638
3000,1,85.0754716981132,40,1.022388
3000,1,85.0754716981132,40,1.061550
3000,1,85.0754716981132,40,1.024807
3000,1,85.0754716981132,40,0.976460
3000,1,85.0754716981132,40,0.981983
3000,1,85.0754716981132,40,0.987021
3000,1,85.0754716981132,40,1.133056
3000,1,85.0754716981132,40,1.312400
3000,1,85.0754716981132,40,1.527054
3000,1,85.0754716981132,40,0.993923
3000,1,85.0754716981132,40,1.318413
3000,1,85.0754716981132,40,1.420917
3000,1,85.0754716981132,40,1.024463
3000,1,85.0754716981132,40,1.033961
3000,1,85.0754716981132,40,1.031341
3000,1,85.0754716981132,40,1.030256
3000,1,85.0754716981132,40,1.027720
3000,1,85.0754716981132,40,1.029020
3000,1,85.0754716981132,40,1.027979
3000,1,85.0754716981132,40,1.020777
3000,1,85.0754716981132,40,1.023139
3000,1,85.0754716981132,40,1.027160
3000,1,89.13461538461539,40,1.339255
3000,1,89.13461538461539,40,1.091606
3000,1,89.13461538461539,40,1.413030
3000,1,89.13461538461539,40,1.265311
3000,1,89.13461538461539,40,1.039346
3000,1,89.13461538461539,40,1.623681
3000,1,89.13461538461539,40,1.024631
3000,1,89.13461538461539,40,1.939360
3000,1,89.13461538461539,40,1.940107
3000,1,89.13461538461539,40,1.559397
3000,1,89.13461538461539,40,1.030851
3000,1,89.13461538461539,40,1.544893
3000,1,89.13461538461539,40,1.000149
3000,1,89.13461538461539,40,1.033991
3000,1,89.13461538461539,40,1.719775
3000,1,89.13461538461539,40,1.030757
3000,1,89.13461538461539,40,1.248877
3000,1,89.13461538461539,40,1.494127
3000,1,89.13461538461539,40,1.506401
3000,1,89.13461538461539,40,1.028450
3000,1,89.13461538461539,40,1.554160
3000,1,89.13461538461539,40,1.031709
3000,1,89.13461538461539,40,1.662154
3000,1,89.13461538461539,40,0.993619
3000,1,89.13461538461539,40,1.027167
3000,1,89.13461538461539,40,1.485636
3000,1,89.13461538461539,40,1.031864
3000,1,89.13461538461539,40,1.612482
3000,1,89.13461538461539,40,1.651418
3000,1,89.13461538461539,40,1.025905
3000,1,90.48076923076923,40,1.051495
3000,1,90.48076923076923,40,1.212478
3000,1,90.48076923076923,40,1.056268
3000,1,90.48076923076923,40,1.454747
3000,1,90.48076923076923,40,1.510094
3000,1,90.48076923076923,40,1.526764
3000,1,90.48076923076923,40,1.598049
3000,1,90.48076923076923,40,1.031025
3000,1,90.48076923076923,40,1.447930
3000,1,90.48076923076923,40,1.377586
3000,1,90.48076923076923,40,1.146421
3000,1,90.48076923076923,40,1.339107
3000,1,90.48076923076923,40,1.228736
3000,1,90.48076923076923,40,1.050994
3000,1,90.48076923076923,40,1.314705
3000,1,90.48076923076923,40,1.624853
3000,1,90.48076923076923,40,1.556359
3000,1,90.48076923076923,40,1.595933
3000,1,90.48076923076923,40,1.333268
3000,1,90.48076923076923,40,1.452420
3000,1,90.48076923076923,40,1.386288
3000,1,90.48076923076923,40,1.040572
3000,1,90.48076923076923,40,1.111140
3000,1,90.48076923076923,40,1.127036
3000,1,90.48076923076923,40,1.001412
3000,1,90.48076923076923,40,1.049965
3000,1,90.48076923076923,40,1.209869
3000,1,90.48076923076923,40,1.008819
3000,1,90.48076923076923,40,1.005227
3000,1,90.48076923076923,40,1.095391
3000,1,92.29411764705883,40,1.515761
3000,1,92.29411764705883,40,1.397102
3000,1,92.29411764705883,40,1.616050
3000,1,92.29411764705883,40,1.341840
3000,1,92.29411764705883,40,1.163610
3000,1,92.29411764705883,40,1.253135
3000,1,92.29411764705883,40,1.548652
3000,1,92.29411764705883,40,1.655551
3000,1,92.29411764705883,40,1.238106
3000,1,92.29411764705883,40,1.588665
3000,1,92.29411764705883,40,1.640838
3000,1,92.29411764705883,40,1.550135
3000,1,92.29411764705883,40,1.423213
3000,1,92.29411764705883,40,1.503268
3000,1,92.29411764705883,40,1.627321
3000,1,92.29411764705883,40,1.850727
3000,1,92.29411764705883,40,1.532809
3000,1,92.29411764705883,40,1.580015
3000,1,92.29411764705883,40,1.482788
3000,1,92.29411764705883,40,1.500356
3000,1,92.29411764705883,40,1.467020
3000,1,92.29411764705883,40,1.427752
3000,1,92.29411764705883,40,1.482713
3000,1,92.29411764705883,40,1.842615
3000,1,92.29411764705883,40,1.489381
3000,1,92.29411764705883,40,1.462553
3000,1,92.29411764705883,40,1.509998
3000,1,92.29411764705883,40,1.480828
3000,1,92.29411764705883,40,1.312939
3000,1,92.29411764705883,40,1.523376
